Run ID,Algorithm,Dataset,Forget Ratio,Seed,Success,Error,accuracy_after,accuracy_before,f1_after,f1_before,forget_accuracy,knowledge_retention,memorization_score,mia_success_after,mia_success_before,precision_after,precision_before,privacy_leakage,recall_after,recall_before,trust_score,utility_loss,time_memory_peak_mb,time_speedup,time_training_time,time_unlearning_time
1,influence_functions,ag_news,0.1000,43,1,,0.7780,0.7800,0.7772,0.7784,0.8000,0.9974,-0.3095,0.5000,0.5000,0.7788,0.7793,0.1516,0.7774,0.7777,0.6525,0.0020,0.0000,0.4554,0.1656,0.3637
2,influence_functions,ag_news,0.1000,44,1,,0.7800,0.7940,0.7727,0.7898,0.7111,0.9824,-0.3313,0.5000,0.5000,0.7785,0.7930,0.1898,0.7774,0.7951,0.6656,0.0140,0.0000,0.4821,0.1714,0.3554
3,influence_functions,ag_news,0.1000,45,1,,0.8000,0.8140,0.7988,0.8135,0.7556,0.9828,-0.2948,0.5000,0.5000,0.8118,0.8186,0.1916,0.7996,0.8137,0.6451,0.0140,0.0000,0.4780,0.1682,0.3518
4,influence_functions,ag_news,0.1000,46,1,,0.7460,0.7660,0.7429,0.7642,0.7556,0.9739,-0.3037,0.5000,0.5000,0.7658,0.7747,0.1885,0.7520,0.7710,0.6503,0.0200,0.0000,0.4973,0.1751,0.3522
0,influence_functions,ag_news,0.2500,42,1,,0.7380,0.7600,0.7368,0.7596,0.7312,0.9711,-0.3296,0.5000,0.5000,0.7707,0.7741,0.1989,0.7469,0.7676,0.6529,0.0220,0.0000,0.4736,0.1619,0.3419
1,influence_functions,ag_news,0.2500,43,1,,0.6500,0.7200,0.6422,0.7199,0.5484,0.9028,-0.3555,0.5000,0.5000,0.7163,0.7329,0.1796,0.6537,0.7169,0.6882,0.0700,0.0000,0.4639,0.1527,0.3292
2,influence_functions,ag_news,0.2500,44,1,,0.7120,0.7560,0.7049,0.7479,0.6989,0.9418,-0.3395,0.5000,0.5000,0.7288,0.7513,0.2113,0.7154,0.7550,0.6487,0.0440,0.0000,0.4604,0.1548,0.3362
3,influence_functions,ag_news,0.2500,45,1,,0.7480,0.7820,0.7445,0.7794,0.7204,0.9565,-0.3037,0.5000,0.5000,0.7809,0.8069,0.1940,0.7435,0.7782,0.6495,0.0340,0.0000,0.4829,0.1660,0.3437
4,influence_functions,ag_news,0.2500,46,1,,0.7320,0.7620,0.7369,0.7633,0.7527,0.9606,-0.3316,0.5000,0.5000,0.7430,0.7706,0.2040,0.7338,0.7662,0.6447,0.0300,0.0000,0.5455,0.1693,0.3103
0,fine_tune_forgetting,ag_news,0.0500,42,1,,0.8040,0.7860,0.8040,0.7855,0.3913,1.0229,-0.3094,0.5000,0.5000,0.8036,0.7924,0.1310,0.8073,0.7915,0.7628,-0.0180,0.0000,0.3502,0.1814,0.5180
1,fine_tune_forgetting,ag_news,0.0500,43,1,,0.7720,0.7820,0.7694,0.7803,0.4783,0.9872,-0.3066,0.5000,0.5000,0.7699,0.7816,0.1181,0.7694,0.7794,0.7499,0.0100,0.0000,0.3776,0.1680,0.4449
2,fine_tune_forgetting,ag_news,0.0500,44,1,,0.8060,0.7860,0.8033,0.7812,0.3913,1.0254,-0.3323,0.5000,0.5000,0.8039,0.7837,0.1107,0.8055,0.7864,0.7831,-0.0200,0.0000,0.3929,0.1898,0.4831
3,fine_tune_forgetting,ag_news,0.0500,45,1,,0.8140,0.8220,0.8134,0.8217,0.5652,0.9903,-0.2880,0.5000,0.5000,0.8165,0.8257,0.1124,0.8153,0.8221,0.7257,0.0080,0.0000,0.3651,0.1773,0.4857
4,fine_tune_forgetting,ag_news,0.0500,46,1,,0.7640,0.7680,0.7653,0.7682,0.4783,0.9948,-0.2918,0.5000,0.5000,0.7661,0.7750,0.1115,0.7674,0.7721,0.7517,0.0040,0.0000,0.3303,0.1735,0.5253
0,fine_tune_forgetting,ag_news,0.1000,42,1,,0.7840,0.7860,0.7841,0.7862,0.4444,0.9975,-0.3126,0.5000,0.5000,0.7857,0.7919,0.1203,0.7890,0.7916,0.7627,0.0020,0.0000,0.3697,0.1672,0.4521
1,fine_tune_forgetting,ag_news,0.1000,43,1,,0.7640,0.7800,0.7635,0.7784,0.3778,0.9795,-0.3095,0.5000,0.5000,0.7673,0.7793,0.1104,0.7635,0.7777,0.7775,0.0160,0.0000,0.3435,0.1752,0.5100
2,fine_tune_forgetting,ag_news,0.1000,44,1,,0.7860,0.7940,0.7800,0.7898,0.3333,0.9899,-0.3313,0.5000,0.5000,0.7815,0.7930,0.1361,0.7835,0.7951,0.7906,0.0080,0.0000,0.3909,0.1799,0.4603
3,fine_tune_forgetting,ag_news,0.1000,45,1,,0.8160,0.8140,0.8156,0.8135,0.5333,1.0025,-0.2948,0.5000,0.5000,0.8180,0.8186,0.1458,0.8162,0.8137,0.7232,-0.0020,0.0000,0.3561,0.1774,0.4981
4,fine_tune_forgetting,ag_news,0.1000,46,1,,0.7380,0.7660,0.7379,0.7642,0.5111,0.9634,-0.3037,0.5000,0.5000,0.7421,0.7747,0.1348,0.7424,0.7710,0.7266,0.0280,0.0000,0.3590,0.1873,0.5218
0,fine_tune_forgetting,ag_news,0.2500,42,1,,0.7620,0.7600,0.7637,0.7596,0.3441,1.0026,-0.3296,0.5000,0.5000,0.7667,0.7741,0.2233,0.7633,0.7676,0.7668,-0.0020,0.0000,0.3486,0.1570,0.4504
1,fine_tune_forgetting,ag_news,0.2500,43,1,,0.6800,0.7200,0.6772,0.7199,0.3333,0.9444,-0.3555,0.5000,0.5000,0.7044,0.7329,0.1869,0.6851,0.7169,0.7597,0.0400,0.0000,0.3496,0.1606,0.4592
2,fine_tune_forgetting,ag_news,0.2500,44,1,,0.7340,0.7560,0.7278,0.7479,0.3548,0.9709,-0.3395,0.5000,0.5000,0.7320,0.7513,0.2007,0.7339,0.7550,0.7610,0.0220,0.0000,0.3844,0.1697,0.4415
3,fine_tune_forgetting,ag_news,0.2500,45,1,,0.7460,0.7820,0.7441,0.7794,0.2581,0.9540,-0.3037,0.5000,0.5000,0.7436,0.8069,0.2137,0.7466,0.7782,0.7754,0.0360,0.0000,0.3443,0.1653,0.4802
4,fine_tune_forgetting,ag_news,0.2500,46,1,,0.7060,0.7620,0.7113,0.7633,0.4301,0.9265,-0.3316,0.5000,0.5000,0.7233,0.7706,0.1935,0.7079,0.7662,0.7204,0.0560,0.0000,0.3068,0.1620,0.5280
